country,state,iata,hotel,note,found
UNITED STATES of AMERICA,San Francisco,SFO,Ritz Carlton,,
UNITED STATES of AMERICA,San Francisco,SFO,St Regis,"Surrounded by dramatic cityscape views, the sophisticated St. Regis San Francisco is home to the Museum of the African Diaspora and located next door to the renowned Museum of Modern Art.",no
UNITED STATES of AMERICA,San Francisco,SFO,Palace Hotel,,no
UNITED STATES of AMERICA,San Francisco,SFO,Four Seasons,,
UNITED STATES of AMERICA,San Francisco,SFO,Fairmont,, 
UNITED STATES of AMERICA,Los Angeles,LAX,Peninsula,The Peninsula Beverly Hills,
UNITED STATES of AMERICA,Los Angeles,LAX,Beverly Hills Hotel,"Locally known as ""The Pink Palace,"" The Beverly Hills Hotel and Bungalows, Dorchester Collection is a landmark building offering chic accommodations in historical Tinseltown style.",
UNITED STATES of AMERICA,Los Angeles,LAX,Waldorf,THE BEVERLY HILLS HOTEL,
UNITED STATES of AMERICA,Los Angeles,LAX,Montage,MONTAGE BEVERLY HILLS LEGEND,
UNITED STATES of AMERICA,Los Angeles,LAX,Beverly Wilshire,,
UNITED STATES of AMERICA,New York,JFK,Baccarat,Baccarat brings French luxury and crystal craftsmanship to the heart of NYC,no
UNITED STATES of AMERICA,New York,JFK,Peninsula,THE PENINSULA NEW YORK,no
UNITED STATES of AMERICA,New York,JFK,Four Seasons,,
UNITED STATES of AMERICA,New York,JFK,The Mark,,
UNITED STATES of AMERICA,New York,JFK,Plaza,,
UNITED STATES of AMERICA,Chicago,ORD,Peninsula,"Standing sentry on Chicago's 'Magnificent Mile', The Peninsula Chicago offers an opulent home from home for visitors to The Windy City.",
UNITED STATES of AMERICA,Chicago,ORD,Conrad,,
UNITED STATES of AMERICA,Chicago,ORD,Waldorf,,
UNITED STATES of AMERICA,Chicago,ORD,Four Seasons,,
UNITED STATES of AMERICA,Chicago,ORD,Fairmont,,
UNITED STATES of AMERICA,Austin,AUS,Four Seasons,"Four Seasons Hotel Austin is a luxury resort-like haven in Downtown Austin on the banks of Lady Bird Lake, steps from business and entertainment districts.",
UNITED STATES of AMERICA,Austin,AUS,Hotel Granduca,,
UNITED STATES of AMERICA,Austin,AUS,The Driskill,,
UNITED STATES of AMERICA,Austin,AUS,Travaasa,,
UNITED STATES of AMERICA,Austin,AUS,Hotel Ella,,
UNITED STATES of AMERICA,Miami,MIA,Setai,,
UNITED STATES of AMERICA,Miami,MIA,Acqualina,,
UNITED STATES of AMERICA,Miami,MIA,St.Regis,,
UNITED STATES of AMERICA,Miami,MIA,Four Seasons,,
UNITED STATES of AMERICA,Miami,MIA,1 hotel,Drink in the glitz and glamour of South Beach from a beachside perch at 1 Hotel South Beach.,
UNITED STATES of AMERICA,Las Vegas,LSV,Wynn/Encore,The five-star elegance of the extravagant Wynn Las Vegas stands out amidst the bright lights and flashy neon of the famed Las Vegas Strip.,
UNITED STATES of AMERICA,Las Vegas,LSV,Four Seasons,,
UNITED STATES of AMERICA,Las Vegas,LSV,Bellagio,,
UNITED STATES of AMERICA,Las Vegas,LSV,Aria,,
UNITED STATES of AMERICA,Las Vegas,LSV,Mandarin,,
UNITED STATES of AMERICA,Boston,BOS,Fairmont Copely,,
UNITED STATES of AMERICA,Boston,BOS,Mandarin Oriental,,
UNITED STATES of AMERICA,Boston,BOS,Four Seasons,"As handsome and elegant as historic Boston itself, Four Seasons Hotel Boston puts the City on a Hill at your fingertips.",
UNITED STATES of AMERICA,Boston,BOS,XV Beacon,,
UNITED STATES of AMERICA,Boston,BOS,Battery Wharf,,
EUROPE,Paris,PAR,La Reserve,Experience a different vision of luxury. La Réserve.,
EUROPE,Paris,PAR,Le Meurice,,
EUROPE,Paris,PAR,George V,,
EUROPE,Paris,PAR,Plaza,,
EUROPE,Paris,PAR,Peninsula,,
EUROPE,London,LCY,Hotel Royal Café,,
EUROPE,London,LCY,Rosewood,,
EUROPE,London,LCY,Dorchester,,
EUROPE,London,LCY,45 Park Lane,,
EUROPE,London,LCY,Connaught,Thsear  e Dorchester is a luxury hotel in Mayfair. Overlooking Hyde Park & located near Piccadilly & Marble Arch.,
EUROPE,Monaco,MCM,Hotel Du Paris,,
EUROPE,Monaco,MCM,Hermitage,"So wonderful that it has been declared an historical monument, Hôtel Hermitage Monte-Carlo, overlooking the Mediterranean, epitomizes Monte-Carlo luxury and elegance.",
EUROPE,Monaco,MCM,Hotel Metropole,,
EUROPE,St. Jean Cap Ferrat,NCE,Hotel Royal Riviera,,
EUROPE,St. Jean Cap Ferrat,NCE,Grand Hotel du Cap Ferrat,"The Grand-Hôtel du Cap-Ferrat, A Four Seasons Hotel is a famous five star luxury resort hotel, situated in Saint-Jean-Cap-Ferrat in the French Riviera.",
EUROPE,St. Tropez,TLN,Hotel Byblos,"Discover the unique world of Byblos Saint-Tropez on the French Riviera, evocative of a magical renaissance of chic indulgences and glamorous comforts. Here magical memories are created.",
EUROPE,St. Tropez,TLN,Hotel Sezz Saint Tropez,,
EUROPE,St. Tropez,TLN,Hotel De la Ponche,,
EUROPE,St. Tropez,TLN,Villa Marie,,
EUROPE,St. Tropez,TLN,Pan del Palais,,
EUROPE,Cannes,CEQ,Tiara Miramar Beach hotel,,
EUROPE,Cannes,CEQ,Tiara Yaksta,,
EUROPE,Cannes,CEQ,Intercontinental,Mediterranean views make it a vacation hotspot for film buffs and sun-seekers alike.,
EUROPE,Cannes,CEQ,Hotel Majestic,,
EUROPE,Cannes,CEQ,Hotel Du cap Eden Roc,,
EUROPE,Geneva,GVA,Four Seasons Des Bergues,,
