hotel;logo;
Fairmont San Francisco - United States - 12950;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/12950_logo.png;
THE BEVERLY HILLS HOTEL - United States - 24361;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/24361_logo.png;
Waldorf Astoria Beverly Hills - United States - 311177;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/311177_logo.png;
The Peninsula Beverly Hills - United States - 45860;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/45860_logo.png;
Montage Beverly Hills Preferred LEGEND Collection - United States - 85827;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/85827_logo.png;
Beverly Wilshire Four Seasons - United States - 4714;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/4741_logo.png;
Four Seasons Hotel New York - United States - 34526;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/34526_logo.png;
The Mark Preferred LEGEND Collection - United States - 50969;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/50969_logo.png;
The Plaza - United States - 78747;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/78747_logo.png;
THE PENINSULA CHICAGO - United States - 45918;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/45918_logo.png;
CONRAD CHICAGO - United States - ;;
CONRAD CHICAGO - United States - ;;
Waldorf Astoria Chicago - United States - 57168;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/57168_logo.png;
Four Seasons Hotel Chicago - United States - 8833;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/8833_logo.png;
Fairmont Chicago, Millennium Park - United States - 14336;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/14336_logo.png;
Four Seasons Hotel Austin - United States - 12181;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/12181_logo.png;
Hotel Ella - United States - 55892;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/55892_logo.png;
The Setai Miami Beach - United States - 54271;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/54271_logo.png;
Acqualina Resort And Spa On The Beach - United States - 33816;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/33816_logo.png;
Four Seasons Hotel Miami - United States - 37423;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/37423_logo.png;
1 Hotel South Beach - United States - 81670;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/81670_logo.png;
Wynn Las Vegas Preferred LEGEND Collection - United States - 64086;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/64086_logo.png;
Four Seasons Hotel Las Vegas - United States - 29931;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/29931_logo.png;
MGM Bellagio - United States - 36422;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/36422_logo.png;
MGM ARIA Resort & Casino - United States - 103409;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/103409_logo.png;
